model, best_val, best_adv_val, last_val, last_adv_val, train_time, attack_time
no_attack/0.01/1118_164129,83.1,0.51,83.1,0.19,1533.208,0
PGD_Linf/6.0/0.01_0.5/1118_171826,68.28,35.07,66.88,35.07,13704.6622,12010.6608
aRUB/6.0/0.01_0.5/1118_211759,23.77,23.94,9.67,9.69,7697.8628,3914.3363
QAUB/step4/6.0/0.01_0.5/1118_233727,11.03,10.4,10.33,10.33,2682.628,690.2149
QAUB/step6/6.0/0.01_0.5/1119_003307,77.78,13.11,77.14,7.25,2684.2386,689.195
QAUB/step9/6.0/0.01_0.5/1119_012855,14.82,14.3,9.81,9.81,2693.309,692.9891
no_attack/0.005/1119_123403,78.24,0.03,77.7,0.01,1172.3257,0
PGD_Linf/6.0/0.005_0.5/1119_130213,66.4,33.88,65.12,32.2,10931.2091,9517.8436
aRUB/6.0/0.005_0.5/1119_161257,41.76,41.72,21.73,21.56,6382.1843,3333.4536
QAUB/step4/6.0/0.005_0.5/1119_180755,14.21,12.67,9.61,9.61,2053.8348,644.429
QAUB/step6/6.0/0.005_0.5/1119_185043,79.0,12.32,76.99,2.63,2052.8992,647.2291
QAUB/step9/6.0/0.005_0.5/1119_193331,10.64,10.33,10.12,10.06,2061.8648,648.1967
PGD_Linf/6.0/0.01_0.3/1120_000818,68.49,34.12,65.53,31.73,10903.5258,9489.0134
PGD_Linf/6.0/0.01_0.7/1120_031835,68.65,36.09,66.47,34.3,10939.7263,9524.5661
aRUB/6.0/0.001_0.5/1120_062930,59.77,59.69,43.39,43.34,6407.5082,3344.5935
aRUB/6.0/0.003_0.5/1120_082452,52.11,51.52,9.95,9.95,6411.3392,3346.6823
lambda98/no_attack/0.01/1120_105332,81.74,0.37,81.74,0.22,1200.7018,0
