model, test, test_adv, last_val, last_adv_val, train_time, attack_time
cosine/no_attack/0.01/1120_150517,81.99,27.77,82.85,28.5,1035.6576,0
cosine/no_attack/0.01/1120_155211,85.36,30.81,85.95,30.41,2071.2497,0
lambda98/no_attack/0.01/1120_164425,83.06,27.76,83.67,27.84,2081.9738,0
cosine/no_attack/0.01/1121_021921,87.08,31.63,87.07,31.37,2806.863,0
cosine/no_attack/0.01/1121_101354,78.18,12.36,78.07,12.37,2816.8745,0
cosine/no_attack/0.01/1121_112747,77.42,12.06,58.04,7.98,2829.4074,0
cosine/no_attack/0.01/1121_132459,85.36,30.81,85.95,30.41,3618.409,0
cosine/no_attack/0.01/1121_132525,85.64,12.84,85.66,12.93,3576.1865,0
cosine/no_attack/0.01/1121_140221,85.31,10.44,85.52,11.05,3402.5187,0
cosine/no_attack/0.01/1121_151340,85.72,12.19,85.75,12.27,2883.9177,0
cosine/no_attack/0.1/1121_153349,85.26,12.64,84.59,13.15,2767.7678,0
cosine/no_attack/0.05/1121_164320,85.9,12.96,85.48,11.85,2293.0444,0
lambda98/no_attack/0.01/1121_173938,84.47,11.89,84.25,11.45,2282.4234,0
step/no_attack/0.01/1121_183547,84.19,12.46,82.22,12.16,2276.9218,0
cosine/no_attack/0.01/1121_200104,80.46,11.79,80.47,12.59,2301.0945,0
lambda98/no_attack/0.01/1121_205728,84.35,11.22,84.04,10.68,2312.1426,0
lambda95/no_attack/0.01/1121_215408,81.35,9.53,82.19,9.55,2284.2059,0
step/no_attack/0.01/1121_225006,84.92,11.42,85.06,10.68,2269.7493,0
multistep/no_attack/0.01/1121_234552,86.31,11.84,86.03,11.63,2289.1614,0
no/no_attack/0.01/1122_004158,81.27,10.9,82.22,12.16,2314.9581,0
multistep/no_attack/0.01/1122_021656,86.52,12.73,86.57,12.89,3414.9035,0
multistep/PGD_Linf/6.0/0.01_0.5/1122_034026,30.78,46.64,29.24,47.64,32888.6803,28798.6848
multistep/no_attack/0.01/1122_142519,86.31,6.95,86.03,7.05,2348.3894,0
cosine/no_attack/0.01/1122_154722,85.8,6.63,86.18,6.45,2320.6417,0
multistep/no_attack/0.01/1122_175022,86.31,15.96,86.03,15.39,2287.5911,0
